timestamp,location_name,latitude,longitude,hour,minute,day_of_week,is_weekend,frc,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,confidence,road_closure,speed_ratio,travel_time_ratio,congestion_level
2026-04-03T20:10:23.691460+00:00,marienplatz,48.1374,11.5755,20,10,4,0,FRC2,26.0,26.0,84.0,84.0,1.0,0,1.0,1.0,free_flow
2026-04-03T20:10:24.933584+00:00,schwabing,48.1642,11.5811,20,10,4,0,FRC3,26.0,26.0,73.0,73.0,1.0,0,1.0,1.0,free_flow
2026-04-03T20:10:26.071205+00:00,sendlinger_tor,48.1339,11.5668,20,10,4,0,FRC2,24.0,28.0,72.0,62.0,1.0,0,0.8571,1.1613,free_flow
2026-04-03T20:10:27.215785+00:00,a9_north,48.22,11.61,20,10,4,0,FRC0,129.0,129.0,73.0,73.0,1.0,0,1.0,1.0,free_flow
2026-04-03T20:10:28.484416+00:00,a8_east,48.12,11.75,20,10,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow
2026-04-03T20:10:29.624266+00:00,pasing,48.1497,11.4617,20,10,4,0,FRC1,38.0,38.0,129.0,129.0,1.0,0,1.0,1.0,free_flow
2026-04-03T20:10:30.774705+00:00,neuperlach,48.0996,11.6302,20,10,4,0,FRC3,23.0,31.0,102.0,75.0,0.983527,0,0.7419,1.36,moderate
2026-04-03T20:10:32.342326+00:00,mittlerer_ring,48.12,11.55,20,10,4,0,FRC2,25.0,25.0,111.0,111.0,1.0,0,1.0,1.0,free_flow
2026-04-03T20:47:23.737081+00:00,marienplatz,48.1374,11.5755,20,47,4,0,FRC2,21.0,25.0,104.0,87.0,1.0,0,0.84,1.1954,moderate
2026-04-03T20:47:24.906914+00:00,schwabing,48.1642,11.5811,20,47,4,0,FRC3,26.0,26.0,73.0,73.0,1.0,0,1.0,1.0,free_flow
2026-04-03T20:47:26.065907+00:00,sendlinger_tor,48.1339,11.5668,20,47,4,0,FRC2,25.0,25.0,69.0,69.0,1.0,0,1.0,1.0,free_flow
2026-04-03T20:47:27.222833+00:00,a9_north,48.22,11.61,20,47,4,0,FRC0,129.0,129.0,73.0,73.0,1.0,0,1.0,1.0,free_flow
2026-04-03T20:47:28.497771+00:00,a8_east,48.12,11.75,20,47,4,0,FRC4,65.0,65.0,130.0,130.0,1.0,0,1.0,1.0,free_flow
2026-04-03T20:47:29.606161+00:00,pasing,48.1497,11.4617,20,47,4,0,FRC1,38.0,38.0,129.0,129.0,1.0,0,1.0,1.0,free_flow
2026-04-03T20:47:30.857659+00:00,neuperlach,48.0996,11.6302,20,47,4,0,FRC3,29.0,29.0,81.0,81.0,1.0,0,1.0,1.0,free_flow
2026-04-03T20:47:32.101472+00:00,mittlerer_ring,48.12,11.55,20,47,4,0,FRC2,25.0,25.0,111.0,111.0,1.0,0,1.0,1.0,free_flow
